Name,Xcoord,Ycoord,Heading
x,930,475,300
x,925,467,300
x,920,459,300
x,910,445,300
x,905,437,300
x,900,429,300
x,890,415,300
x,885,407,300
x,880,399,300
x,915,545,270
x,915,535,270
x,915,525,270
x,638,652,240
x,643,644,240
x,720,20,350
x,730,22,350
x,740,24,350
